,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Canutama,BR,76.57,overcast clouds,-6.5339,-64.3831,Endereço Atual- Mauricio da Silva Lima
540,Kahului,US,78.82,broken clouds,20.8947,-156.47,Maui Seaside Hotel
542,Saiha,IN,64.8,clear sky,22.4833,92.9667,"Circuit House, Siaha"
543,Tayu,ID,83.95,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
544,Jinji,CN,54.63,few clouds,23.2281,110.8261,
545,Takaka,NZ,69.53,scattered clouds,-40.85,172.8,Golden Bay Motels
547,Koch Bihar,IN,63.54,clear sky,26.3167,89.4333,Hotel Yubraj
548,Plettenberg Bay,ZA,68.05,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
550,Konotop,UA,50.34,overcast clouds,51.2403,33.2026,УКРАЇНА ГОТЕЛЬ
551,Lagos,NG,79.12,few clouds,6.5833,3.75,
552,Bhola,BD,68.97,clear sky,22.6833,90.65,The Dhonia River Resort
554,Matola,MZ,76.95,broken clouds,-25.9622,32.4589,Guesthouse Yuba
557,Ihosy,MG,68.22,broken clouds,-22.4,46.1167,Tamana hôtel
558,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
561,Turbo,CO,75.61,overcast clouds,8.0937,-76.7269,Hotel Plaza Manfortt
562,Lakhimpur,IN,57.72,clear sky,27.95,80.7667,Hotel Landmark Royale & Funn Mall Lakhimpur Kheri
563,Beloha,MG,74.68,overcast clouds,-25.1667,45.05,
565,Caranavi,BO,64.58,overcast clouds,-15.8167,-67.55,Hotel LANDIVAR
567,Monkey Hill,KN,78.66,clear sky,17.3167,-62.7167,St. Kitts Marriott Resort Hotel & The Royal Beach Casino
568,Hariana,IN,54.72,clear sky,31.6378,75.8408,Chetan attachi house
570,Banting,MY,82.74,overcast clouds,2.8167,101.5,Hotel Intan Jugra
571,San Ramon De La Nueva Oran,AR,79.43,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
573,Nanakuli,US,78.75,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
574,Taltal,CL,65.08,scattered clouds,-25.4,-70.4833,Residencial Karime
575,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
577,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
579,Ibotirama,BR,74.34,broken clouds,-12.1853,-43.2206,Serra do Rio Hotel
581,Turbat,PK,65.12,clear sky,26.0023,63.044,Mubashar Quarters
584,Belmonte,BR,76.71,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
586,Port Macquarie,AU,76.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
589,Lichtenburg,ZA,66.45,overcast clouds,-26.152,26.1597,Kennzy Guest House
591,San Pablo,PH,81.9,scattered clouds,14.0669,121.3258,Ang Tahanan ni Aling Meding Hotel and Restaurant
592,Ahipara,NZ,69.98,clear sky,-35.1667,173.1667,Ahipara Holiday Park
594,Prabumulih,ID,78.87,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih Syariah
595,Bauta,CU,66.09,few clouds,22.9828,-82.5464,El Refugio
600,Riberalta,BO,74.44,overcast clouds,-10.9833,-66.1,Hotel Colonial
601,Yabassi,CM,75.02,scattered clouds,4.457,9.9682,MOTEL FOMI
602,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
603,Estelle,US,68.0,overcast clouds,29.8458,-90.1067,Ohio
604,Kirakira,SB,83.61,overcast clouds,-10.4544,161.9205,SanBiz Lodge
607,Axim,GH,78.19,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
608,Methoni,GR,57.22,few clouds,36.8197,21.7049,Methoni Beach Hotel
609,Makakilo City,US,77.32,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
612,Monrovia,LR,78.31,overcast clouds,6.3005,-10.7969,Sunset Inn
618,Manaus,BR,79.29,few clouds,-3.1019,-60.025,Manaus Hotéis Millennium
619,Basco,PH,77.74,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
620,Fortuna Foothills,US,64.22,overcast clouds,32.6578,-114.4119,Fortuna De Oro RV Park
623,Batemans Bay,AU,70.11,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
625,Boyuibe,BO,71.1,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
626,Tecoanapa,MX,78.13,clear sky,16.5167,-98.75,Hotel Manglares
628,Parintins,BR,76.66,broken clouds,-2.6283,-56.7358,Cama e Cafe
630,Agadir,MA,59.45,few clouds,30.4202,-9.5982,Iberostar Founty Beach
638,Prieska,ZA,71.24,broken clouds,-29.6641,22.7474,Avenue GuestHouse
639,Freetown,SL,78.1,broken clouds,8.484,-13.2299,The Country Lodge Hotel
640,Thaton,MM,78.19,clear sky,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
643,Matamoros,MX,69.91,scattered clouds,25.5333,-103.25,Quinta Belem
645,Codajas,BR,78.98,overcast clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
646,La Asuncion,VE,74.93,clear sky,11.0333,-63.8628,Colinas de Matasiete
647,Chilca,PE,67.96,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
650,Kawhia,NZ,77.5,clear sky,-38.0651,174.8183,Kawhia Beachside Scape Holiday Park
651,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
652,Sao Felix Do Xingu,BR,71.55,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
653,Toritama,BR,72.79,scattered clouds,-8.0067,-36.0567,Toritama Golden Hotel
654,Poso,ID,85.55,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
655,Adrar,MR,72.16,clear sky,20.5022,-10.0711,
657,Itarema,BR,79.5,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
659,Bilma,NE,66.25,clear sky,18.6853,12.9164,Expeditions Ténére voyages
660,Placido De Castro,BR,76.1,light rain,-10.3353,-67.1856,Hotel Carioca
661,Yafran,LY,57.4,broken clouds,32.0633,12.5286,بيوت الشباب بيفرن
662,Morant Bay,JM,78.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
663,Kon Tum,VN,72.39,broken clouds,14.35,108.0,Hoa đà spa- homestay
664,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
665,Sambava,MG,73.71,light rain,-14.2667,50.1667,Melrose
667,Gao,ML,67.28,overcast clouds,16.6362,1.637,
668,Halol,IN,67.24,clear sky,22.5,73.4667,"Hotel Valley - Rooms, Banquet, Party Plot"
669,Sailana,IN,62.51,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
671,Camana,PE,70.9,overcast clouds,-16.6228,-72.7111,Hostal Morales
672,Faranah,GN,68.27,overcast clouds,10.0404,-10.7434,Chez mon oncle
673,Angoche,MZ,77.14,overcast clouds,-16.2325,39.9086,Guest House HESADA
675,Poindimie,NC,81.95,scattered clouds,-20.9333,165.3333,hotel de la plage
676,Marawi,PH,80.17,overcast clouds,7.9986,124.2928,Derogongan Residence
677,Alta Floresta,BR,69.55,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
678,Ponta Delgada,PT,67.5,very heavy rain,37.7333,-25.6667,Vila Nova Hotel
679,Toucheng,TW,67.14,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
680,Tual,ID,83.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
681,Canico,PT,74.03,light rain,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
683,Dunedin,NZ,57.79,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
686,Yen Bai,VN,63.52,overcast clouds,21.7,104.8667,AK MOTEL
687,Saint-Louis,SN,79.39,clear sky,16.3333,-15.0,
689,Dayong,CN,63.41,scattered clouds,25.0209,118.2898,Haiyue Express Hotel
692,Safranbolu,TR,52.93,overcast clouds,41.2508,32.6942,GuleviSafranbolu Hotel
693,La Macarena,CO,69.53,broken clouds,2.1837,-73.7849,Casa Hotel Real
695,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
696,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
697,Erzin,TR,55.15,overcast clouds,36.9559,36.2,Artemis Otel
698,Lazaro Cardenas,MX,75.99,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
699,Ibanda,TZ,62.28,broken clouds,-2.7974,32.4746,Lahe Hotel Mwanza
700,Ambilobe,MG,73.08,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
702,Vanimo,PG,86.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
703,Salto,UY,81.88,broken clouds,-31.3833,-57.9667,Gran Hotel Uruguay
704,Tirthahalli,IN,67.33,overcast clouds,13.7,75.2333,Ashoka Lodge
705,Bubaque,GW,80.29,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
706,Umm Kaddadah,SD,60.31,clear sky,13.6017,26.6876,
708,Maldonado,UY,69.19,overcast clouds,-34.6667,-54.9167,La Cimarrona
709,Pavagada,IN,67.8,broken clouds,14.1,77.2667,HOTEL GAYATHRI COMFORTS
711,Codrington,AU,56.32,overcast clouds,-38.2667,141.9667,
712,Waipawa,NZ,70.27,clear sky,-41.4122,175.5153,Tora Coastal Walk
