,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Ilhabela,BR,74.98,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
121,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
123,Camacupa,AO,61.83,light rain,-12.0167,17.4833,
124,Butaritari,KI,80.83,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
128,Taoudenni,ML,73.83,clear sky,22.6783,-3.9836,
129,Bathsheba,BB,75.06,few clouds,13.2167,-59.5167,Atlantis Hotel
132,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
134,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
135,Knysna,ZA,69.3,overcast clouds,-34.0363,23.0471,Protea by Marriott Hotel Knysna Quays
136,Avera,US,53.38,light rain,33.194,-82.5271,
139,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
142,Guerrero Negro,MX,59.97,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
143,Wattegama,LK,74.89,overcast clouds,6.7989,81.4808,
144,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Presidencia Roque Saenz Pena,AR,78.39,overcast clouds,-26.7852,-60.4388,Hotel Gualok
148,Muncar,ID,84.51,broken clouds,-8.4333,114.3333,Zaky Homestay
149,Bluff,NZ,63.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
150,Sinjai,ID,86.13,overcast clouds,-5.1241,120.253,Wisma Sandika
151,Elizabeth City,US,51.82,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
152,Ambon,ID,84.45,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
154,Richards Bay,ZA,71.42,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
157,Gadsden,US,58.01,mist,34.0143,-86.0066,Hampton Inn Gadsden
159,Harper,LR,77.59,light rain,4.375,-7.7169,Screensaver
160,Kattivakkam,IN,80.69,broken clouds,13.2167,80.3167,Euronova Freezer
162,Tabou,CI,77.32,light rain,4.423,-7.3528,hotêl doufoulougou
163,Buala,SB,85.33,light rain,-8.145,159.5921,Maringe Lagoon Lodge
166,Alibag,IN,80.67,scattered clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
167,Naples,IT,57.74,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
168,Mersing,MY,80.06,light rain,2.4312,103.8405,Riverside Hotel
169,Conceicao Do Araguaia,BR,74.8,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
170,Sao Filipe,CV,77.41,clear sky,14.8961,-24.4956,Hotel Xaguate
171,Te Anau,NZ,69.84,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
172,Puerto Del Rosario,ES,65.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
174,Vryburg,ZA,66.51,overcast clouds,-26.9566,24.7284,The Times Premier Lodge
177,Carnarvon,AU,75.52,clear sky,-24.8667,113.6333,Hospitality Carnarvon
179,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
181,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
183,Chuy,UY,73.38,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
187,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
191,Sola,VU,80.71,broken clouds,-13.8833,167.55,Leumerus Bungalows
193,La Zumbadora,HN,64.31,scattered clouds,15.0167,-88.9,Casa chacon
194,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
195,Warrnambool,AU,56.95,overcast clouds,-38.3833,142.4833,Lady Bay Resort
198,Kaya,BF,68.9,few clouds,13.0917,-1.0844,Maison de l'appelé
199,Mar Del Plata,AR,63.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
200,Agua Branca,BR,75.0,few clouds,-5.8922,-42.6361,Água branca do Piauí pi
203,The Valley,AI,78.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
204,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
205,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Base Lodging
208,Gat,IL,59.4,overcast clouds,31.61,34.7642,OlusHome
209,Faanui,PF,74.08,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
211,Mosquera,CO,50.09,few clouds,4.7059,-74.2302,Hotel SJ
212,Nova Vicosa,BR,75.74,broken clouds,-17.8919,-39.3719,Pousada Porto do Sol
213,Clearwater,US,66.92,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
214,Porto Nacional,BR,78.8,broken clouds,-10.7081,-48.4172,Vila Real Hotel
215,Ponnampet,IN,64.45,overcast clouds,12.15,75.9333,The Yellow Bamboo Resort & Spa
216,Necochea,AR,58.68,clear sky,-38.5473,-58.7368,dyd -mar Hotel
217,Cedartown,US,54.72,overcast clouds,34.0537,-85.255,Quality Inn
218,Cilegon,ID,82.69,overcast clouds,-6.0174,106.0538,Forbis Hotel
219,Ribeira Grande,PT,64.78,few clouds,38.5167,-28.7,Quinta da Meia Eira
220,Santa Maria,BR,79.88,clear sky,-29.6842,-53.8069,Hotel Morotin
221,Fukue,JP,55.29,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
222,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
223,Inhambane,MZ,76.35,overcast clouds,-23.865,35.3833,Oceano
224,Sucua,EC,66.52,overcast clouds,-2.4667,-78.1667,Finca el Piura
226,San Lorenzo,PY,77.94,clear sky,-25.3333,-57.5333,Canarias Hotel
230,La Romana,DO,73.76,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
231,Khandbari,NP,57.78,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
232,Bandiagara,ML,69.98,clear sky,14.3501,-3.6104,Hotel de la Falaise
233,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Scoop Guest House
234,Phalombe,MW,67.05,clear sky,-15.8064,35.6507,RIVONIA
238,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Hotel do Campo
239,Mount Hagen,PG,71.4,overcast clouds,-5.8581,144.2274,Highlander Hotel & Apartments
240,Salinopolis,BR,79.0,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
241,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
243,Carballo,ES,53.01,overcast clouds,43.213,-8.691,Pazo do Souto
246,Machali,CL,69.26,clear sky,-34.1833,-70.6667,Mining House
247,Dingle,PH,82.62,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
248,Saldanha,ZA,67.41,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
249,Meadow Lake,US,50.36,clear sky,34.8014,-106.5436,TumbleWeed RV Park
250,Pemba,MZ,78.06,overcast clouds,-12.974,40.5178,Guesthouse Samotina
253,Saint-Pierre,RE,74.91,few clouds,-21.3393,55.4781,Alize Plage
254,Laguna,US,50.05,light rain,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
255,Russell,US,60.08,broken clouds,32.3502,-85.1999,Macs
257,Forbes,AU,68.92,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
259,El Alto,PE,67.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
262,Bethlehem,BR,78.84,broken clouds,-1.4558,-48.5044,Mercure Belém Boulevard
263,Poum,NC,80.49,clear sky,-20.2333,164.0167,
265,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
266,Vaitape,PF,74.26,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
267,Dhanwar,IN,59.81,clear sky,24.4167,85.9833,K G N HOTEL
270,Amnat Charoen,TH,71.08,clear sky,15.9167,104.75,หอพักนักศึกษา
276,Binga,ZW,73.11,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
277,Manzanillo,CU,71.6,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
279,Veraval,IN,69.8,clear sky,20.9,70.3667,Lords Inn Somnath
281,Ciudad Guayana,VE,75.52,scattered clouds,8.3533,-62.6528,Hotel Las Americas
282,Ypsonas,CY,63.57,clear sky,34.6884,32.9574,Club Aphrodite
284,Sao Jose Da Coroa Grande,BR,77.77,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
286,Hun,LY,61.0,clear sky,29.1268,15.9477,Alrwasi Hotel
287,Chaozhou,CN,60.66,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
290,Shahpur,IN,68.27,scattered clouds,16.7,76.8333,Basava Gobi
292,Mindelo,CV,72.95,scattered clouds,16.8901,-24.9804,Hotel Gaudi
298,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
302,Caravelas,BR,74.5,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
303,Rincon,US,59.86,overcast clouds,32.296,-81.2354,Days Inn Rincon
304,Port Lincoln,AU,61.99,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
306,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
309,Dolores,AR,62.24,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
313,Garowe,SO,65.28,scattered clouds,8.4054,48.4845,Sacaada Hotel
315,Bathurst,AU,59.97,overcast clouds,-33.4166,149.5806,Bathurst Motor Inn
319,Bahia Honda,CU,72.52,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
321,Mlalo,TZ,71.78,clear sky,-4.9333,38.9333,B Farm
322,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
323,Hoi An,VN,73.36,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
324,Kaeo,NZ,70.88,broken clouds,-35.1,173.7833,Bushido Lodge
325,Elat,IL,55.24,broken clouds,29.5581,34.9482,Club Hotel Eilat
326,San Patricio,US,73.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
327,Sherman,US,53.17,overcast clouds,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
328,Cassilandia,BR,72.34,overcast clouds,-19.1133,-51.7342,Delirius Motel
329,Coruripe,BR,76.68,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
330,Samarai,PG,84.67,broken clouds,-10.6167,150.6667,Nuli Sapi
331,Constitucion,CL,56.66,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
332,Bonthe,SL,79.05,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
334,Mount Gambier,AU,58.87,light rain,-37.8333,140.7667,The Commodore
335,Mao,ES,52.36,scattered clouds,39.8885,4.2658,ARTIEM Capri
338,Nakhon Phanom,TH,75.0,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
340,Barra Do Garcas,BR,72.95,overcast clouds,-15.89,-52.2567,Pousada Tropical
343,Wanning,CN,67.12,scattered clouds,18.8003,110.3967,Paradise Hotel
344,Tarakan,ID,78.3,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
346,Lata,PT,56.07,overcast clouds,40.1629,-8.3327,Terraços da Beira
347,Tarauaca,BR,72.72,overcast clouds,-8.1614,-70.7656,Flat Temporada
348,Touros,BR,78.53,clear sky,-5.1989,-35.4608,INN NEW HORIZON
349,Abha,SA,50.25,clear sky,18.2164,42.5053,Abha Hotel
350,Wukari,NG,70.84,clear sky,7.85,9.7833,Elimtop
351,Santa Rosalia,MX,63.82,broken clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
352,Coahuayana,MX,71.78,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
356,Riyadh,SA,51.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
359,Alyangula,AU,86.5,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
364,Kadoma,JP,52.59,few clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
368,Mogadishu,SO,77.99,scattered clouds,2.0371,45.3438,Hotel Juba
369,Bandarbeyla,SO,74.8,clear sky,9.4942,50.8122,JABIR HOTEL
370,Hwange,ZW,69.93,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
372,Buraydah,SA,55.85,overcast clouds,26.326,43.975,Mövenpick Qassim
373,Corinth,GR,60.89,overcast clouds,37.9407,22.9573,Ephira Hotel
378,Rio Rancho,US,51.03,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
379,Almonte,ES,62.44,overcast clouds,37.2647,-6.5167,Casa Halcon
381,Kirkuk,IQ,52.56,overcast clouds,35.4681,44.3922,Cihad Oteli
382,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
383,Faya,SA,50.52,clear sky,18.3851,42.4509,شيلة نسايم
384,Maumere,ID,86.49,overcast clouds,-8.6199,122.2111,Sylvia Hotel
386,Ntungamo,UG,60.78,broken clouds,-0.8833,29.65,The Crested Crane Bwindi Hotel
387,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Calypso Cove
388,Soyo,AO,75.49,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
389,Rosarito,MX,56.37,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
390,Teloloapan,MX,61.0,clear sky,18.35,-99.85,Hotel Las Palmas
392,Benjamin Aceval,PY,78.94,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
393,Butia,BR,71.4,clear sky,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
395,Porbandar,IN,68.86,clear sky,21.6422,69.6093,Lords Inn Porbandar
396,Santiago Del Estero,AR,85.28,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
397,Hasaki,JP,54.28,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
398,Awjilah,LY,59.52,clear sky,29.1081,21.2869,
400,Tautira,PF,77.05,moderate rain,-17.7333,-149.15,Pension Oaoa
401,Lakes Entrance,AU,57.16,moderate rain,-37.8811,147.981,The Esplanade Resort & Spa
402,Castro,BR,65.8,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
403,Tuy Hoa,VN,72.77,overcast clouds,13.0833,109.3,Hotel Sài Gòn-Phú Yên
404,Manono,CD,67.5,moderate rain,-7.3,27.4167,Hotel hewa bora
406,Los Llanos De Aridane,ES,67.12,clear sky,28.6585,-17.9182,Valle Aridane
407,Ratnagiri,IN,76.95,overcast clouds,16.9833,73.3,Hotel Landmark
408,Amapa,BR,72.84,overcast clouds,1.0,-52.0,
409,Butembo,CD,55.69,light rain,0.15,29.2833,Hotel Butembo
410,Paita,PE,68.7,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
411,Meulaboh,ID,74.19,light rain,4.1363,96.1285,Kost Pria
413,Dhidhdhoo,MV,81.25,light rain,6.8833,73.1,Dhidhoo beach
414,Yulara,AU,81.59,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
415,Maun,BW,69.76,light rain,-19.9833,23.4167,Enviro Villa
417,Sunyani,GH,69.33,broken clouds,7.3399,-2.3268,Nass Lodge
418,Beira,MZ,76.69,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
419,Machilipatnam,IN,77.11,scattered clouds,16.1667,81.1333,R&B Bungalow
420,Puerto Ayacucho,VE,73.9,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
424,Cayenne,GF,75.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
426,Obo,CF,70.18,few clouds,5.3998,26.4869,
427,Atar,MR,75.16,clear sky,20.5169,-13.0499,Oumou Elghoura
429,Ouargaye,BF,71.67,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
430,Ambulu,ID,83.5,few clouds,-8.345,113.6058,Hotel Ambulu Jember
